Unnamed: 0,id,title,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,n_floors,sq_mt_allotment,latitude,longitude,raw_address,is_exact_address_hidden,street_name,street_number,portal,floor,is_floor_under,door,neighborhood_id,operation,rent_price,rent_price_by_area,is_rent_price_known,buy_price,buy_price_by_area,is_buy_price_known,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,are_pets_allowed,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_furnished,is_kitchen_equipped,is_accessible,has_green_zones,energy_certificate,has_parking,has_private_parking,has_public_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east
6651,15091,Piso en venta en Vicente Camarón,"Puerta del Ángel, Madrid",72.0,,2,1.0,,,,,Vicente Camarón,True,Vicente Camarón,,,1.0,False,,Neighborhood 70: Puerta del Ángel (2443.62 €/m2) - District 10: Latina,sale,686,,False,135000,1875,True,HouseType 1: Pisos,True,False,1955.0,,,,,,False,True,,,,,,,,,,E,False,,,,,,,,
6657,15085,Piso en venta en avenida del Manzanares,"Los Cármenes, Madrid",80.0,,2,2.0,,,,,Avenida del Manzanares,True,Avenida del Manzanares,,,5.0,False,,Neighborhood 71: Los Cármenes (2458.61 €/m2) - District 10: Latina,sale,1135,,False,275000,3438,True,HouseType 1: Pisos,False,False,1960.0,False,True,,True,,True,True,,,,,,,,True,,en trámite,False,,,,,False,True,False,True
6660,15082,Ático en venta en avenida de Las Águilas,"Águilas, Madrid",180.0,92.0,3,2.0,,,,,Avenida de Las Águilas,True,Avenida de Las Águilas,,,9.0,False,,Neighborhood 66: Águilas (2110.34 €/m2) - District 10: Latina,sale,1644,,False,490000,2722,True,HouseType 5: Áticos,False,False,2019.0,False,True,,True,True,True,True,,True,True,True,True,,,,True,en trámite,True,,,True,0.0,True,True,True,True
6668,15074,Piso en venta en Puerta del Ángel,"Latina, Madrid",80.0,77.0,3,1.0,,,,,,True,,,,2.0,False,,Neighborhood 70: Puerta del Ángel (2443.62 €/m2) - District 10: Latina,sale,1094,,False,260000,3250,True,HouseType 1: Pisos,False,False,1961.0,,,,,True,True,True,,,True,,,,,,,en trámite,False,,,,,False,False,True,False
6669,15073,Piso en venta en Puerta del Ángel,"Latina, Madrid",78.0,69.0,2,1.0,,,,,,True,,,,2.0,False,,Neighborhood 70: Puerta del Ángel (2443.62 €/m2) - District 10: Latina,sale,762,,False,155000,1987,True,HouseType 1: Pisos,True,False,1967.0,False,True,,,True,False,True,,,,,,,,,,en trámite,False,,,,,,,,
6670,15072,Piso en venta en calle Bernardina García,"Lucero, Madrid",60.0,59.0,2,1.0,,,,,Calle Bernardina García,True,Calle Bernardina García,,,1.0,False,,Neighborhood 69: Lucero (2363.25 €/m2) - District 10: Latina,sale,621,,False,119000,1983,True,HouseType 1: Pisos,False,False,1957.0,False,True,,True,True,False,True,,,True,,,,,,,G,False,,,,,,,,
6672,15070,Piso en venta en calle Calatayud,"Puerta del Ángel, Madrid",98.0,,3,2.0,,,,,Calle Calatayud,True,Calle Calatayud,,,1.0,False,,Neighborhood 70: Puerta del Ángel (2443.62 €/m2) - District 10: Latina,sale,1167,,False,287000,2929,True,HouseType 1: Pisos,False,False,1997.0,False,True,,,True,True,True,,,True,,,,,True,,en trámite,True,,,True,0.0,,,,
6673,15069,Piso en venta en calle Cebreros,"Lucero, Madrid",63.0,,3,1.0,,,,,Calle Cebreros,True,Calle Cebreros,,,1.0,False,,Neighborhood 69: Lucero (2363.25 €/m2) - District 10: Latina,sale,705,,False,140000,2222,True,HouseType 1: Pisos,False,False,1969.0,True,False,,True,True,True,True,,,,,,,,True,,en trámite,False,,,,,False,False,True,False
6675,15067,Piso en venta en calle de Seseña,"Aluche, Madrid",100.0,90.0,4,2.0,,,,,Calle de Seseña,True,Calle de Seseña,,,8.0,False,,Neighborhood 67: Aluche (2190.48 €/m2) - District 10: Latina,sale,1197,,False,299000,2990,True,HouseType 1: Pisos,False,False,1972.0,True,False,,,True,True,True,,,,,True,,,,True,E,True,,,True,0.0,False,True,True,False
6677,15065,"Piso en venta en calle Prado Alegre, 6","Campamento, Madrid",65.0,52.0,3,1.0,,,,,"Calle Prado Alegre, 6",False,Calle Prado Alegre,6,,3.0,False,,Neighborhood 68: Campamento (2275.63 €/m2) - District 10: Latina,sale,744,,False,150000,2308,True,HouseType 1: Pisos,False,False,1963.0,False,True,,True,,False,True,,,,,,,,,,no indicado,False,,,,,False,False,True,True
